id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,pct_walking_before,pct_walking_now,school_levels
2114,3,3,1,1,post,234,1,NA,19,1,1,0.4230769230769231,0.4230769230769231,2
5144,0,0,0,0,post,240,0,NA,26,1,1,0.3073770491803279,0.3125,2
1746,0,0,0,0,post,237,1,NA,16,1,1,0.32388663967611336,0.33755274261603374,2
1731,0,0,0,0,post,270,0,NA,16,1,1,0.10909090909090909,0.14814814814814814,2
588,0,0,0,0,post,250,0,Armed Groups,13,1,1,0.3225806451612903,0.36,2
1285,0,0,0,0,post,314,0,NA,18,1,1,0.3333333333333333,0.3184713375796178,2
4781,0,0,0,0,post,339,1,NA,22,1,1,0.28213166144200624,0.26548672566371684,2
203,160,2535,1,1,post,537,0,NA,2,1,1,0.058027079303675046,0.055865921787709494,2
4910,0,0,0,0,post,977,1,NA,21,1,1,0.030706243602865915,0.030706243602865915,2
890,0,0,0,0,post,1050,1,NA,3,1,1,0.08538899430740038,0.08571428571428572,2
1340,0,0,0,0,post,149,1,NA,18,0,1,0.47572815533980584,0.6577181208053692,1
3328,30,133,1,1,post,513,1,NA,30,1,0,0.19646365422396855,0.1949317738791423,1
3168,0,0,0,0,post,96,0,NA,28,1,0,0.8163265306122449,0.8333333333333334,1
3926,11,0,0,1,post,102,1,NA,6,1,0,0.16129032258064516,0.19607843137254902,1
2213,0,0,0,0,post,154,0,NA,24,1,0,0.72,0.5844155844155844,1
3771,6,0,0,1,post,155,0,NA,27,1,0,0.19230769230769232,0.22580645161290322,1
3765,6,0,0,1,post,156,0,NA,27,1,0,0.2571428571428571,0.28846153846153844,1
1700,0,0,0,0,post,211,0,NA,16,1,0,0.5277777777777778,0.45023696682464454,1
3522,42,434,1,1,post,232,0,NA,1,1,0,0.3181818181818182,0.3017241379310345,1
1715,0,0,0,0,post,244,0,NA,16,1,0,0.4349775784753363,0.3975409836065574,1
3735,0,0,0,0,post,467,1,NA,6,1,0,0.2767527675276753,0.16059957173447537,1
4330,42,434,1,1,post,369,0,NA,1,1,0,0.24242424242424243,0.21680216802168023,1
3746,0,0,0,0,post,322,1,NA,6,1,0,0.15,0.2329192546583851,1
3359,0,0,0,0,post,268,1,Armed Groups,30,1,1,0.3861003861003861,0.373134328358209,2
4499,0,0,0,0,post,40,1,NA,29,1,1,0.5,0.5,2
3194,0,0,0,0,post,68,0,NA,28,1,1,0.5333333333333333,0.5882352941176471,2
3803,0,0,0,0,post,76,1,NA,27,1,1,0.9090909090909091,0.9210526315789473,2
1172,0,0,0,0,post,97,0,NA,15,1,1,0.9876543209876543,0.8247422680412371,2
4716,1,0,0,1,post,93,1,NA,22,1,1,0.46511627906976744,0.43010752688172044,2
