id,num_events,total_count,tx_fatal,tx_event,time,students,took_damage,Q5_2_aUsedForBefore4,QII_1Province,elementary,high_school,school_levels
163,5,4,1,1,post,130,0,NA,2,0,1,1
2729,0,0,0,0,post,164,1,NA,31,0,1,1
3975,5,45,1,1,post,240,0,NA,28,0,1,1
4147,0,0,0,0,post,203,1,NA,25,0,1,1
4250,0,0,0,0,post,561,1,NA,25,0,1,1
2079,0,0,0,0,post,66,1,Armed Groups,19,1,0,1
2719,0,0,0,0,post,85,0,NA,31,1,0,1
4010,5,45,1,1,post,116,0,NA,28,1,0,1
4472,0,0,0,0,post,175,0,NA,29,1,0,1
4552,0,0,0,0,post,137,0,NA,29,1,0,1
2265,0,0,0,0,post,179,0,NA,24,1,0,1
5065,3,3,1,1,post,265,1,Armed Groups,19,1,0,1
4184,0,0,0,0,post,246,0,NA,25,1,0,1
4514,0,0,0,0,post,254,0,NA,29,1,0,1
1459,36,236,1,1,post,282,1,NA,16,1,0,1
2113,0,0,0,0,post,290,0,NA,19,1,0,1
103,5,4,1,1,post,281,1,NA,2,1,0,1
3104,0,0,0,0,post,332,0,NA,28,1,0,1
1649,0,0,0,0,post,451,0,NA,16,1,0,1
5119,0,0,0,0,post,495,0,NA,25,1,0,1
4158,0,0,0,0,post,495,1,NA,25,1,0,1
2047,8,7,1,1,post,358,1,NA,19,1,1,2
4329,0,0,0,0,post,49,0,NA,1,1,1,2
2282,0,0,0,0,post,44,0,NA,24,1,1,2
2530,0,0,0,0,post,106,0,NA,24,1,1,2
2540,0,0,0,0,post,136,1,NA,24,1,1,2
5044,2,10,1,1,post,134,0,NA,13,1,1,2
4960,0,0,0,0,post,126,0,NA,21,1,1,2
396,0,0,0,0,post,131,0,NA,2,1,1,2
1672,0,0,0,0,post,159,1,NA,16,1,1,2
3530,0,0,0,0,post,161,0,NA,1,1,1,2
1554,0,0,0,0,post,173,1,NA,16,1,1,2
3682,0,0,0,0,post,220,0,NA,1,1,1,2
1561,0,0,0,0,post,331,0,NA,16,1,1,2
1526,0,0,0,0,post,299,1,NA,16,1,1,2
3086,0,0,0,0,post,270,0,NA,28,1,1,2
1081,0,0,0,0,post,325,1,NA,3,1,1,2
1714,0,0,0,0,post,394,0,NA,16,1,1,2
72,158,2535,1,1,post,500,1,NA,2,1,1,2
4163,0,0,0,0,post,566,0,NA,25,1,1,2
1445,0,0,0,0,post,88,1,NA,16,0,1,1
3584,0,0,0,0,post,246,1,NA,1,0,1,1
5114,0,0,0,0,post,447,0,NA,25,0,1,1
3671,0,0,0,0,post,502,1,NA,1,0,1,1
1622,0,0,0,0,post,166,1,NA,16,1,0,1
4724,0,0,0,0,post,192,0,NA,21,1,0,1
4079,0,0,0,0,post,302,0,NA,25,1,0,1
2959,1,0,0,1,post,28,1,Armed Groups,31,1,1,2
2515,0,0,0,0,post,23,0,NA,24,1,1,2
3082,0,0,0,0,post,55,0,NA,28,1,1,2
4146,0,0,0,0,post,80,0,NA,25,1,1,2
2582,0,0,0,0,post,105,0,NA,24,1,1,2
2391,0,0,0,0,post,192,0,NA,24,1,1,2
4192,0,0,0,0,post,113,0,NA,25,1,1,2
2362,0,0,0,0,post,122,0,NA,24,1,1,2
5026,0,0,0,0,post,121,0,NA,24,1,1,2
4886,0,0,0,0,post,139,0,NA,21,1,1,2
1299,0,0,0,0,post,159,1,NA,18,1,1,2
5084,0,0,0,0,post,153,0,NA,1,1,1,2
1550,0,0,0,0,post,196,0,NA,16,1,1,2
4525,0,0,0,0,post,184,1,NA,29,1,1,2
718,0,0,0,0,post,202,0,NA,13,1,1,2
5022,0,0,0,0,post,139,0,NA,2,1,1,2
4547,0,0,0,0,post,126,1,NA,29,1,1,2
2977,1,0,0,1,post,230,0,NA,24,1,1,2
4556,0,0,0,0,post,251,0,NA,29,1,1,2
1747,0,0,0,0,post,272,0,NA,16,1,1,2
3227,5,45,1,1,post,277,0,NA,28,1,1,2
2920,0,0,0,0,post,371,0,NA,31,1,1,2
1682,0,0,0,0,post,411,0,NA,16,1,1,2
1600,0,0,0,0,post,493,1,NA,16,1,1,2
108,3,4,1,1,post,543,0,NA,2,1,1,2
3976,5,45,1,1,post,562,0,NA,28,1,1,2
1517,0,0,0,0,post,660,0,NA,16,1,1,2
4735,12,55,1,1,post,648,1,NA,22,1,1,2
4786,0,0,0,0,post,649,1,NA,21,1,1,2
4305,0,0,0,0,post,1156,0,NA,16,1,1,2
3860,0,0,0,0,post,101,0,NA,27,0,1,1
